Title,Link,Sentence,Head,Tail,Relation
HVAC FAN CONTROLLER,https://patents.justia.com/patent/20150060038,The proposed circuit avoids the floating state of the thermostat fan output and keeps the HVAC fan either in ON state or in OFF state.,hvac fan,thermostat,part of
HVAC FAN CONTROLLER,https://patents.justia.com/patent/20150060038,The present invention handles the switching OFF of the HVAC fan operation when the thermostat fan is switched to OFF.,thermostat,hvac,subclass of
Wireless HVAC Vent,https://patents.justia.com/patent/20140222216,A self-contained wireless HVAC vent which can be independently controlled via a wireless communication link.,vent,hvac,subclass of
Wireless HVAC Vent,https://patents.justia.com/patent/20140222216,The HVAC vent is capable of regulating the airflow in to a zone by using adjustable damper(s).,damper(s),hvac vent,part of
Wireless HVAC Vent,https://patents.justia.com/patent/20140222216,"The HVAC vent also monitors the condition of the air, which may include temperature, air quality and humidity, as well as the presence of potential hazardous conditions.",air quality,air,facet of
Wireless HVAC Vent,https://patents.justia.com/patent/20140222216,"Lastly, the power needed to operate the HVAC vent is acquired from the environmental surrounding and converted and regulated to electrical energy.",regulated,electrical energy,facet of
HVAC CONDENSER CONDENSATE DEFLECTOR THAT DEFLECTS AND CHANNELS THE HVAC CONDENSATE,https://patents.justia.com/patent/20160200267,The HVAC unit condensate deflector may be defined in a material of the acoustic barrier panel.,acoustic barrier panel,hvac unit,part of
HVAC CONDENSER CONDENSATE DEFLECTOR THAT DEFLECTS AND CHANNELS THE HVAC CONDENSATE,https://patents.justia.com/patent/20160200267,"By the integral HVAC condensate deflector, condensate draining from a motor vehicle HVAC unit is deflected whereby contact with an exhaust system of the motor vehicle is avoided.",hvac condensate deflector,hvac unit,part of
HVAC ADAPTER CURB AND INSTALLATION METHOD,https://patents.justia.com/patent/20190316808,An adapter curb for supporting a new HVAC unit on an existing HVAC curb at a work site is disclosed.,hvac unit,hvac,use
HVAC ADAPTER CURB AND INSTALLATION METHOD,https://patents.justia.com/patent/20190316808,"One or more components can be pre-installed on the adapter curb frame, including but not limited to an electrical connection assembly, upper and lower sealing elements, interior insulation, one or more wind brackets, and/or a plurality of lifting flanges.",lifting flanges,curb frame,part of
HVAC DAMPER CONTROL,https://patents.justia.com/patent/20160258651,A hvac damper control is described.,hvac,damper control,subclass of
HVAC DAMPER CONTROL,https://patents.justia.com/patent/20160258651,"In an example, an apparatus comprises a manual actuator, wherein in a manual use of the manual actuator, the manual actuator is configured to open a hvac damper to an open position and close the damper to a closed position.",hvac damper,manual actuator,has part
HVAC DAMPER CONTROL,https://patents.justia.com/patent/20160258651,"When the actuator is connected to propulsion, the actuator is configured to drive itself to the open position, wherein the actuator is configured to lock to the manual actuator.",manual actuator,drive itself,use
HVAC AIRFLOW MEASUREMENT WITH IN-SITU CALIBRATION,https://patents.justia.com/patent/20230266028,In-situ calibration of a flow measurement device in a forced air HVAC system.,forced air,hvac,subclass of
"HVAC SYSTEM, A METHOD FOR OPERATING THE HVAC SYSTEM AND A HVAC CONTROLLER CONFIGURED FOR THE SAME",https://patents.justia.com/patent/20160209064,The interface receives a comfort temperature set point and a sensed temperature for the enclosed space.,comfort temperature,sensed temperature,subclass of
"HVAC SYSTEM, A METHOD FOR OPERATING THE HVAC SYSTEM AND A HVAC CONTROLLER CONFIGURED FOR THE SAME",https://patents.justia.com/patent/20160209064,"The processor determines a total error value based on comparing the sensed temperature and comfort temperature set point, selects a mode of operation based on the total error value, and operates the HVAC system in the selected mode of operation.",mode of operation,hvac system,facet of
HVAC/R SYSTEM WITH AUXILIARY POWER SOURCE AND METHOD OF OPERATING AN HVAC/R SYSTEM,https://patents.justia.com/patent/20180106492,"The HVAC/R system includes an HVAC/R component configured to contain a refrigerant and allow a refrigerant to flow therethrough, a detecting mechanism configured to detect a concentration of the refrigerant outside of the HVAC/R component, and a blower configured to operate under power from an auxiliary power source upon detection of the refrigerant above a predetermined refrigerant level during a main power source outage.",auxiliary power source,main power source,opposite of
HVAC unit housing assembly,https://patents.justia.com/patent/20050230079,"The present invention provides a vehicle ventilation system, and, in particular, a heating and air-conditioning assembly and method of making such an assembly, wherein the assembly comprises a multi-portion HVAC housing and an alignment feature.",heating and air-conditioning,ventilation system,has part
HVAC unit housing assembly,https://patents.justia.com/patent/20050230079,"Preferably, the alignment feature is a baffle, or, in particular, a cross flow baffle, that serves an air directing as well as bridge function between housing portions of the HVAC, reducing packaging space for the HVAC unit while providing ease of assembly and reduced tool complexity for multi-piece HVAC housings.",cross flow baffle,baffle,subclass of
Configurative control for HVAC systems,https://patents.justia.com/patent/5491649,Programmable system and process are disclosed for adapting a generally written HVAC control program to a number of different HVAC systems.,hvac control program,hvac systems,facet of
Configurative control for HVAC systems,https://patents.justia.com/patent/5491649,The system and process include a separate interface to the control program and a separate interface to the control elements of each particular HVAC system.,control program,hvac system,facet of
Configurative control for HVAC systems,https://patents.justia.com/patent/5491649,Configuration data for the particular HVAC system defines the relationship between software variables of the control program and the control elements of the particular HVAC system.,configuration data for the particular hvac system,hvac system,facet of
Configurative control for HVAC systems,https://patents.justia.com/patent/5491649,The configuration data is utilized when information is to be transferred between the interfaces.,configuration data,information,subclass of
SYSTEM AND METHOD FOR HVAC SUBMETERING,https://patents.justia.com/patent/20180100882,"The method also includes receiving power data indicative of a total power consumed by the HVAC unit, receiving airflow data indicative of a rate of the conditioned air received by the unit from the HVAC unit, determining a power consumption of the unit based on the power data and the airflow data, and outputting the power consumption of the unit.",conditioned air,airflow,subclass of
SYSTEM AND METHOD FOR ENERGY MANAGEMENT OF AN HVAC SYSTEM,https://patents.justia.com/patent/20130261808,An energy management system for monitoring airflow from an HVAC system to achieve homogeneous temperature distributions.,hvac,energy management system,subclass of
HVAC CONTROL SYSTEM FOR HOUSEHOLD CENTRAL AIR CONDITIONING,https://patents.justia.com/patent/20140324230,The interface unit for motor control includes an inverter unit and a rotor position detection unit.,inverter,interface unit,subclass of
HVAC CONTROL SYSTEM FOR HOUSEHOLD CENTRAL AIR CONDITIONING,https://patents.justia.com/patent/20140324230,"At least one of the centrifugal blower motor, the compressor motor, and the axial fan motor is a permanent magnet synchronous motor in the absence of a motor controller.",permanent magnet,synchronous motor,subclass of
METHOD FOR OPEARTING AN HVAC SYSTEM,https://patents.justia.com/patent/20140222219,A method for operating an HVAC system of a building is provided.,hvac system,building,part of
"AUXILIARY CONTROLLER, A HVAC SYSTEM, A METHOD OF MANUFACTURING A HVAC SYSTEM AND A METHOD OF STARTING THE SAME",https://patents.justia.com/patent/20140297042,"In one embodiment, the integrated controller includes: (1) an interface coupled to an auxiliary controller of the HVAC system and configured to communicate therewith, the auxiliary controller having an auxiliary non-volatile memory, (2) a processor, coupled to the interface and configured to direct the operation of the HVAC system, and (3) a main non-volatile memory coupled to the processor and configured to receive a copy of main controller application information associated with the main system controller via the interface and store the main controller application information, the processor further configured to automatically send a copy of the main controller application information during manufacturing of the HVAC system to the auxiliary controller of the HVAC system to store as back-up data on the auxiliary non-volatile memory of the auxiliary controller.",auxiliary controller,integrated controller,subclass of
HVAC System and Method for Over the Road Motor Coaches,https://patents.justia.com/patent/20090090122,A method of using an externally powered HVAC system for an over-the-road motor coach includes coupling the HVAC system to an external shore power source at a temporary stop location for the over-the-road motor coach while the over-the-road motor coach is parked and vehicle engine is turned off; receiving electrical power from the electrical outlet to power the HVAC system; and using the HVAC system to circulate refrigerant for heating or cooling an interior cabin of the over-the-road motor coach and power HVAC fans to ventilate the interior cabin of the over-the-road motor coach.,refrigerant,heating,use
METHODS AND SYSTEMS FOR REMOTELY MONITORING AND CONTROLLING HVAC UNITS,https://patents.justia.com/patent/20140277768,"Systems, methods, and medium remotely monitor and control heating, ventilation and air-conditioning (HVAC) units.","heating, ventilation and air-conditioning",hvac,subclass of
METHODS AND SYSTEMS FOR REMOTELY MONITORING AND CONTROLLING HVAC UNITS,https://patents.justia.com/patent/20140277768,The method includes receiving by a processor via a communication network supply temperature data indicating a supply air temperature in a duct coupled to an HVAC unit.,duct,hvac unit,part of
METHODS AND SYSTEMS FOR REMOTELY MONITORING AND CONTROLLING HVAC UNITS,https://patents.justia.com/patent/20140277768,The method includes receiving by the processor via the communication network zone temperature data of a space being maintained by the HVAC unit.,hvac unit,communication network,has part
METHODS AND SYSTEMS FOR REMOTELY MONITORING AND CONTROLLING HVAC UNITS,https://patents.justia.com/patent/20140277768,"The method includes receiving by the processor via the communication network thermostat data from a thermostat in the space and analyzing by the processor at least one of the supply temperature data, the zone temperature data and thermostat data.",communication network thermostat,thermostat,subclass of
"Systems and Methods for Zoned Wireless Heating, Ventilation, and Air Conditioner (HVAC) Sensor Registration and Verification",https://patents.justia.com/patent/20240175592,"Disclosed are systems and methods for for zoned wireless heating, ventilation, and air conditioner (HVAC) sensor registration and verification.","heating, ventilation, and air conditioner",hvac,subclass of
"Systems and Methods for Zoned Wireless Heating, Ventilation, and Air Conditioner (HVAC) Sensor Registration and Verification",https://patents.justia.com/patent/20240175592,"The example method may also include determining, using the one or more processors and based on the first data, a first configuration change for the HVAC unit.",hvac unit,processors,has part
SYSTEMS AND METHODS FOR DISPLAYING HVAC INFORMATION,https://patents.justia.com/patent/20110083094,Described herein are systems and methods for displaying HVAC information.,hvac,information,subclass of
SYSTEMS AND METHODS FOR DISPLAYING HVAC INFORMATION,https://patents.justia.com/patent/20110083094,"For example, this data may be maintained by a building management system.",maintained,building management system,facet of
SYSTEMS AND METHODS FOR DISPLAYING HVAC INFORMATION,https://patents.justia.com/patent/20110083094,"The method further includes defining data indicative of a display object for rendering on a client display, the display object including a plurality of geometrically arranged indicator blocks, wherein each indicator block is associated with a respective HVAC component.",client display,display object,subclass of
SYSTEMS AND METHODS FOR DISPLAYING HVAC INFORMATION,https://patents.justia.com/patent/20110083094,"For the purposes of this display object, each indicator block is bound with respective source of comfort level data for its associated HVAC component.",comfort level,hvac,facet of
SYSTEMS AND METHODS FOR DISPLAYING HVAC INFORMATION,https://patents.justia.com/patent/20110083094,Display characteristics are defined for each indicator block responsive to the comfort level data.,comfort level,indicator block,facet of
SYSTEMS AND METHODS FOR DISPLAYING HVAC INFORMATION,https://patents.justia.com/patent/20110083094,The display characteristics are selectively modified responsive to changes in the comfort level data.,responsive,display characteristics,subclass of
SYSTEMS AND METHODS FOR DISPLAYING HVAC INFORMATION,https://patents.justia.com/patent/20110083094,The resulting display object is referred to as a “comfort map” for the present purposes.,comfort map,display object,subclass of
ENVIRONMENTAL CONTROL FOR HVAC SYSTEM,https://patents.justia.com/patent/20150045963,The application control data are calculated to achieve a desired operating efficiency for the HVAC system.,operating efficiency,hvac system,facet of
HVAC SYSTEM CONFIGURATION WITH AUTOMATIC SCHEMATICS AND GRAPHICS GENERATION,https://patents.justia.com/patent/20230105987,"An engineering tool accepts a selection from a user of an HVAC component and automatically loads one or more Shapes from the Shapes Library into a configuration project, the one or more Shapes corresponding to the user-selected HVAC component.",shapes library,hvac component,use
HVAC SYSTEM CONFIGURATION WITH AUTOMATIC SCHEMATICS AND GRAPHICS GENERATION,https://patents.justia.com/patent/20230105987,"The engineering tool automatically loads additional Shapes from the Shapes Library into the configuration project, the additional Shapes corresponding to one or more of the accepted selections of the one or more options and combines the loaded Shapes within the configuration project to automatically generate a graphical representation of the HVAC system.",shapes library,hvac,use
TIME-CONSTRAINED CONTROL OF AN HVAC SYSTEM,https://patents.justia.com/patent/20170314799,"An HVAC system includes an indoor unit, an outdoor unit, a thermostat, and a remote control device.",thermostat,remote control device,subclass of
TIME-CONSTRAINED CONTROL OF AN HVAC SYSTEM,https://patents.justia.com/patent/20170314799,"The indoor unit comprises a first variable speed drive (VSD) to control a speed of HVAC rotary components within the indoor unit, and the outdoor unit comprises a second VSD to control a speed of HVAC rotary components within the outdoor unit.",variable speed drive,hvac,use
TIME-CONSTRAINED CONTROL OF AN HVAC SYSTEM,https://patents.justia.com/patent/20170314799,"The remote control device transmits a signal to the system controller to alter the speed of the HVAC rotary components, where the HVAC rotary components operate at a high speed mode which is above the preset speed limit of the respective HVAC rotary component to achieve an enhanced cooling mode.",system controller,remote control device,subclass of
HVAC CONTROL DURING DEMAND RESPONSE EVENT,https://patents.justia.com/patent/20210207835,"After adjusting the setpoint temperature to the predefined setpoint temperature, a new user setting for operation of the HVAC system is received.",setting,hvac system,facet of
Method and system for controlling an automotive HVAC system based on the principle of HVAC work,https://patents.justia.com/patent/6173902,A desired amount of HVAC Work necessary to achieve thermal comfort is determined based on either a target temperature or a model of an occupant's thermal comfort.,hvac work,occupant's thermal comfort,facet of
HVAC EQUIPMENT WITH REFRIGERANT GAS SENSOR,https://patents.justia.com/patent/20230029164,An HVAC system with a refrigerant gas sensor is provided.,refrigerant gas sensor,hvac system,part of
HVAC EQUIPMENT WITH REFRIGERANT GAS SENSOR,https://patents.justia.com/patent/20230029164,"In one embodiment, an HVAC system includes a heat exchanger coil installed within a housing.",heat exchanger,hvac,subclass of
HVAC EQUIPMENT WITH REFRIGERANT GAS SENSOR,https://patents.justia.com/patent/20230029164,The heat exchanger coil is operable to exchange heat with air in the housing via a refrigerant passing through the heat exchanger coil.,refrigerant,heat,has part
HVAC EQUIPMENT WITH REFRIGERANT GAS SENSOR,https://patents.justia.com/patent/20230029164,The system also includes an HVAC sensor assembly installed within the housing.,hvac,sensor,has part
HVAC EQUIPMENT WITH REFRIGERANT GAS SENSOR,https://patents.justia.com/patent/20230029164,The HVAC sensor assembly includes a refrigerant gas sensor and an orientation sensor positioned to detect an orientation of the refrigerant gas sensor.,orientation sensor,hvac sensor,subclass of
HVAC INSTRUMENT PANEL BRACKET,https://patents.justia.com/patent/20200247478,"The cross beam mount has a first surface, a first side, a second side and a first, second, third, fourth and fifth walls.",walls,cross beam mount,part of
HVAC INSTRUMENT PANEL BRACKET,https://patents.justia.com/patent/20200247478,The first dash panel mount extends from the first HVAC duct and fastened to a dash panel of the vehicle.,dash panel mount,dash panel,part of
VERSATILE HVAC SENSOR,https://patents.justia.com/patent/20090283603,An HVAC sensor is provided that includes a housing that houses a sensor.,hvac sensor,sensor,subclass of
VERSATILE HVAC SENSOR,https://patents.justia.com/patent/20090283603,"The conduit may direct pressurized air emanating from the hole in the duct toward the sensor, thereby allowing the sensor to sense a parameter of the air in the duct without actually positioning the sensor within the duct.",pressurized air,air,subclass of
HVAC system analysis tool,https://patents.justia.com/patent/20070157639,"A tool for the analysis of heating, ventilation and air conditioning (HVAC) systems, methods for performing various analyses of an HVAC system with the tool, and a computer executable program used by the tool to perform the analyses are disclosed.",executable,program,subclass of
HVAC system analysis tool,https://patents.justia.com/patent/20070157639,"The tool includes a processing machine, a database, a memory device having a software program executable by the processing machine, and a display device.",executable,software program,subclass of
System and Method to Eliminate High Pressure Surges in HVAC Systems,https://patents.justia.com/patent/20170102175,The bypass line can direct the refrigerant toward an inlet to the evaporator within the HVAC system.,evaporator,hvac,part of
System and Method to Eliminate High Pressure Surges in HVAC Systems,https://patents.justia.com/patent/20170102175,Other locations of bypass lines can be used as well.,bypass line,bypass,subclass of
System and Method to Eliminate High Pressure Surges in HVAC Systems,https://patents.justia.com/patent/20170102175,A controller for the HVAC system can control access to the bypass line and measure pressure within the system.,controller,hvac system,part of
System and Method to Eliminate High Pressure Surges in HVAC Systems,https://patents.justia.com/patent/20170102175,An orifice can be provided within the bypass line to help relieve pressure within the HVAC system.,bypass line,hvac system,part of
DETERMINING EFFECTS OF A HVAC UNIT ON AN ENVIRONMENT,https://patents.justia.com/patent/20240053038,"A method, apparatus, and product, comprising performing, in an environment where a Heating, Ventilation, or Air Conditioning (HVAC) unit is deployed, the steps of: performing a testing phase that is configured to test an influence of the HVAC unit on a temperature of the environment, by: performing a testing sequence that comprises a sequence of two or more actions, wherein an action comprises instructing the HVAC unit to change its target temperature, and performing measurements of effects of the actions on the temperature of the environment; based on the testing phase, generating a temperature profile that indicates the influence of the HVAC unit on the temperature of the environment; and based on the temperature profile, generating a recommendation for a utilization of the HVAC unit.","heating, ventilation, or air conditioning",hvac,subclass of
HVAC SYSTEM DISCOMFORT INDEX AND DISPLAY,https://patents.justia.com/patent/20200271345,"Aspects include receiving, from a sensor, operational data associated with the HVAC system, receiving, from the sensor, environmental data associated with the HVAC system, analyzing the operational data and the environmental data to determine a potential comfort issue with the HVAC system, receiving a discomfort index associated with the HVAC system, plotting an indicia on the discomfort index based on the operational data and the environmental data, and determining a root cause of the potential comfort issue based at least in part on a coordinate of the indicia on the discomfort index.",discomfort index,indicia,subclass of
SYSTEMS AND METHODS TO OPERATE HVAC SYSTEM IN VARIABLE OPERATING MODE,https://patents.justia.com/patent/20230324070,The secondary control circuitry is configured to cause operation of the HVAC system in a calibration mode to determine a calibrated target temperature and transmit the calibrated target temperature to the primary control circuitry to enable operation of the HVAC system in the variable operating mode via the primary control circuitry based on the calibrated target temperature.,variable operating mode,calibration mode,opposite of
HVAC BLOWER ADJUSTABLE DIVERGENCE,https://patents.justia.com/patent/20170274731,The HVAC system includes a HVAC housing that contains a series of heat exchangers to heat and cool the passenger cabin of a vehicle.,passenger cabin,vehicle,part of
HVAC BLOWER ADJUSTABLE DIVERGENCE,https://patents.justia.com/patent/20170274731,A blower fan may be disposed in a blower housing that is connected to the HVAC housing.,hvac,blower housing,has part
HVAC BLOWER ADJUSTABLE DIVERGENCE,https://patents.justia.com/patent/20170274731,A door may be disposed in the scroll portion to adjust the volume of the scroll portion.,door,scroll,part of
METHOD OF CONTROL OF HVAC SYSTEM AT VEHICLE STARTUP,https://patents.justia.com/patent/20180319249,Climate control systems for implementing the described methods are provided.,systems,climate control,use
AUTOMATED HVAC SYSTEM FUNCTIONALITY TEST,https://patents.justia.com/patent/20130338836,The method also includes identifying an amount to change a setpoint for a zone controller for the HVAC system based on the user input.,zone controller,hvac system,part of
Systems and Methods for HVAC and Irrigation Control,https://patents.justia.com/patent/20150081106,An HVAC system controller has a processor configured to control an irrigation control system.,hvac system controller,processor,has part
Controlling HVAC system by inversing airflow dynamics,https://patents.justia.com/patent/11162701,"The control system comprises an input interface configured to accept data indicative of a target distribution of thermal state in an environment, and a memory configured to store an airflow dynamics model (ADM) and an HVAC model.",airflow dynamics model,hvac model,subclass of
SYSTEM AND METHOD FOR OPERATION OF AN HVAC SYSTEM TO ADJUST AMBIENT AIR TEMPERATURE,https://patents.justia.com/patent/20130190932,A method for temporarily adjusting an ambient temperature of an environment regulated by an HVAC system is also provided.,ambient temperature,hvac system,facet of
System for Management of an HVAC System,https://patents.justia.com/patent/20190107307,Described is a system for networked management of an HVAC system.,networked management,hvac system,facet of
System for Management of an HVAC System,https://patents.justia.com/patent/20190107307,The system includes an HVAC system controller and at least one vent register in communication with the HVAC system controller.,vent register,hvac system controller,part of
System for Management of an HVAC System,https://patents.justia.com/patent/20190107307,Each vent register includes a transceiver and an actuator configured to alter a flow-through area of the vent register.,transceiver,actuator,has part
System for Management of an HVAC System,https://patents.justia.com/patent/20190107307,"The system also includes at least one sensor configured to monitor at least one environmental condition including: temperature, humidity, light, atmospheric pressure, differential pressure, motion, air quality, sound, airflow, or any combination thereof.",differential pressure,atmospheric pressure,subclass of
System for Management of an HVAC System,https://patents.justia.com/patent/20190107307,"The system further includes a control processor in communication with the HVAC system controller, the at least one vent register, and the at least one sensor.",vent register,hvac system,part of
METHOD OF USING AN INSTALLATION GUIDE SYSTEM TO CONFIGURE AN AIR CONDITIONER OR HVAC ARRANGEMENT,https://patents.justia.com/patent/20130138249,A method of using an installation guide system to configure an air conditioner or HVAC arrangement is provided.,air conditioner,hvac,subclass of
METHOD OF USING AN INSTALLATION GUIDE SYSTEM TO CONFIGURE AN AIR CONDITIONER OR HVAC ARRANGEMENT,https://patents.justia.com/patent/20130138249,"The installation guide system may include an input configured to receive inputs from a user; a memory configured to store information; a display; and a controller configured to control the input, the memory, and the display.",controller,display,has part
"HEATING, VENTILATION AND AIR CONDITIONING (HVAC) CONTROL SYSTEM, HVAC SYSTEM AND CONTROL METHOD",https://patents.justia.com/patent/20170146259,"The present invention relates to a Heating, Ventilation and Air Conditioning (HVAC) control system, an HVAC system and control method.","heating, ventilation and air conditioning",hvac system,subclass of
METHOD AND SYSTEM FOR CONFIGURING HVAC SYSTEMS,https://patents.justia.com/patent/20210116140,Described herein is an improved HVAC system and method of configuring an HVAC system for cost-effective installation and energy efficient operation for multiple unit residential buildings.,hvac system,hvac,subclass of
METHOD AND SYSTEM FOR CONFIGURING HVAC SYSTEMS,https://patents.justia.com/patent/20210116140,This advantage allows for elimination of one or more mechanical plenums for air mixing space as well as flexibility in locating HVAC components in the space provided.,plenum,hvac,use
"METHOD AND SYSTEM FOR DETECTING A FAILURE IN HVAC SYSTEM, AND MEMORIZER",https://patents.justia.com/patent/20210199325,The method comprises the steps of: obtaining room air temperatures and compressor equivalent runtime during the operation of the HVAC system; calculating a rate of change per unit time of the room air temperatures within the compressor equivalent runtime; and determining whether a fault occurs in the HVAC system based on a change in the rate of change per unit time of the room air temperatures.,compressor equivalent runtime,hvac system,facet of
"METHOD AND SYSTEM FOR DETECTING A FAILURE IN HVAC SYSTEM, AND MEMORIZER",https://patents.justia.com/patent/20210199325,"The invention can be applied to a HVAC system for an on-line fault detection, which is able to effectively detect a series of faculties and may output information such as an alert to help to increase the security and the user satisfaction of the HVAC system.",fault detection,hvac,facet of
RESISTANCE HEATED COWL TRAY AND HVAC INTAKE,https://patents.justia.com/patent/20080017624,The ability of the cowl tray and HVAC intake to generate heat is useful in preventing the accumulation of snow and ice.,ice,snow,has parts of the class
HVAC ELECTRICAL SYSTEM POWER SUPPLY PACKAGING SYSTEM,https://patents.justia.com/patent/20150330659,Embodiments of a HVAC electrical system power supply packaging system within an ultimate enclosure are provided.,power supply,hvac,part of
SYSTEMS AND METHODS OF OPTIMIZING HVAC CONTROL IN A BUILDING OR NETWORK OF BUILDINGS,https://patents.justia.com/patent/20210003308,"The system and method optimize HVAC operations by predicting HVAC requirements based historical data, weather forecasts and/or occupancy rates.",hvac requirements,hvac operations,facet of
SYSTEMS AND METHODS OF OPTIMIZING HVAC CONTROL IN A BUILDING OR NETWORK OF BUILDINGS,https://patents.justia.com/patent/20210003308,Historical data includes data obtained from an observation phase in which sensor data is collected from the building and used to train the algorithms utilized in the system and method and thereby providing for a more accurate prediction of HVAC requirements.,historical data,hvac,facet of
METHOD FOR CONTROLLING OPERATION OF AN HVAC SYSTEM,https://patents.justia.com/patent/20160131381,"For controlling the flow of air into the zones (Z1, Z2, Z3, Zi) of a variable air volume HVAC system (1) having actuator driven dampers (D1, D2, D3, Di), which operate in a range from a minimum damper position to a maximum damper position for adjusting the flow of air into a zone (Z1, Z2, Z3, Zi), flow measurement values and current damper positions are transmitted via a telecommunications network (2) to a cloud-based HVAC control center (3).",variable air volume,hvac,subclass of
HVAC Home Air Filter,https://patents.justia.com/patent/20160317963,A filter medium is retained within the supportive frame to remove the airborne molecular contaminants and VOCs from air flowing through the residential HVAC system.,hvac system,vocs,has part
System and method for controlling an HVAC system using a flash mini-card,https://patents.justia.com/patent/6330806,"A heating, ventilation, and air-conditioning (HVAC) control system and method for controlling a device, a subsystem, and/or a process using a flash mini-card.","heating, ventilation, and air-conditioning",control system,subclass of
System and method for controlling an HVAC system using a flash mini-card,https://patents.justia.com/patent/6330806,"Preferably, the present invention is directed to an HVAC control system and method for controlling a chiller and the devices and subsystems associated with the chiller using a flash mini-card.",chiller,hvac,subclass of
System and method for controlling an HVAC system using a flash mini-card,https://patents.justia.com/patent/6330806,"More preferably, the present invention obviates the need for the HVAC control system and method to use at least one of the following: a hard disk, a disk controller, a card reader, or a card controller.",disk controller,hard disk,uses
HVAC DYNAMIC AIR VOLUME CORRECTION,https://patents.justia.com/patent/20250075932,"An HVAC volume correction controller for a building's HVAC system, and an associated method, for dynamically modulating the volumetric airflow rate entering the building to account for the thermal expansion of air through a blow through heat exchanger.",heat exchanger,hvac system,part of
HVAC DYNAMIC AIR VOLUME CORRECTION,https://patents.justia.com/patent/20250075932,"The HVAC volume correction controller: (i) calculates a temperature differential between an air discharge temperature and an air intake temperature; (ii) calculates a volume correction factor, taking into account the thermal expansion coefficient of air and the temperature differential; and (iii) modifies a blower motor speed of the blow through heat exchanger.",heat exchanger,hvac,part of
HVAC DYNAMIC AIR VOLUME CORRECTION,https://patents.justia.com/patent/20250075932,"The HVAC volume correction controller can be retrofitted on existing HVAC systems, or can be integrated with a blow through heat exchanger for new installations.",blow through heat exchanger,hvac,subclass of
HVAC EQUIPMENT WITH REFRIGERANT GAS SENSOR,https://patents.justia.com/patent/20230304712,The system also includes an HVAC sensor assembly having a refrigerant gas sensor and a processor installed in a sensor housing.,refrigerant gas sensor,hvac sensor,subclass of
HVAC EQUIPMENT WITH REFRIGERANT GAS SENSOR,https://patents.justia.com/patent/20230304712,The processor is configured to execute stored instructions to identify an undesirable condition pertaining to the refrigerant gas sensor.,refrigerant,gas,subclass of
SCRUBBER FOR HVAC SYSTEM,https://patents.justia.com/patent/20240189756,"In some embodiments, there is provided a scrubber system for cleaning return air in an HVAC unit, where the scrubber system attaches directly to an inlet of the return-air side of the HVAC unit, for example, by the mating of a flange on the system with a matching flange on the HVAC unit.",scrubber system,hvac unit,part of
SCRUBBER FOR HVAC SYSTEM,https://patents.justia.com/patent/20240189756,"The bolt-on scrubber system may comprise one or more sorbent materials, a fan for circulating return air through the sorbent, a damper-controlled inlet and a damper-controlled outlet to the attached return air side of the HVAC unit.",fan,hvac unit,part of
SCRUBBER FOR HVAC SYSTEM,https://patents.justia.com/patent/20240189756,"Further, an additional air flow channel and a damper may be included in the system to control the flow of outside air into the HVAC unit.",damper,hvac unit,part of
SCRUBBER FOR HVAC SYSTEM,https://patents.justia.com/patent/20240189756,"In some embodiments, the sorbents may be contained in removable inserts.",removable inserts,embodiments,subclass of
SYSTEMS AND METHODS FOR INTEGRATED APPLICATIONS OF HVAC SYSTEMS,https://patents.justia.com/patent/20180109906,The service database includes data comprising a physical location of the HVAC unit and a service history for the HVAC unit.,service history,hvac,facet of
SYSTEMS AND METHODS FOR INTEGRATED APPLICATIONS OF HVAC SYSTEMS,https://patents.justia.com/patent/20180109906,The control system also includes a user device communicatively coupled to the service database.,user device,control system,part of
TRANSIT VEHICLE HVAC SYSTEM WITH SANITIZATION AND METHODS FOR TRANSIT HVAC SANITIZATION,https://patents.justia.com/patent/20220203808,"Sanitizers can include a pre-filter installed upstream of a filter, a filter including or coated with an anti-pathogen material, or a treatment dispenser providing a treatment including an anti-pathogen material to reduce pathogen risk and/or improve air quality within the transit vehicle.",pre-filter,filter,subclass of
TRANSIT VEHICLE HVAC SYSTEM WITH SANITIZATION AND METHODS FOR TRANSIT HVAC SANITIZATION,https://patents.justia.com/patent/20220203808,Methods for operating a transit HVAC system can include reducing pathogens.,hvac,hvac system,part of
TRANSIT VEHICLE HVAC SYSTEM WITH SANITIZATION AND METHODS FOR TRANSIT HVAC SANITIZATION,https://patents.justia.com/patent/20220203808,"Pathogens can be reduced by one or more of filtering air passing through the transit HVAC system using a pre-filter, filtering the air passing through the transit HVAC system using a filter that is coated with or includes an anti-pathogen material, or providing a treatment including the anti-pathogen material to the air passing through the transit HVAC system.",pre-filter,filtering,subclass of
Wireless user interface for an HVAC controller and method of operating the same,https://patents.justia.com/patent/8376242,"In one embodiment, the wireless user interface includes: (1) a chassis having a display and at least one control button and containing a temperature sensor and wireless communication circuitry and (2) a microcontroller configured to cause the wireless communication circuitry to generate outbound data packets for wireless transmission to the HVAC controller containing temperature readings from the temperature sensor and when the at least one control button is pressed and receive inbound data packets from the HVAC controller that determine a content of the display.",microcontroller,wireless communication,use
Remote testing of HVAC systems,https://patents.justia.com/patent/20050228607,"The method includes the steps of transmitting a test request to the HVAC system from the remote location, performing a test on the primarily dormant component of the HVAC system in response to the test request, and producing a test result.",dormant component,hvac system,subclass of
